feedback_text,feedback_timestamp,menu_item,meal_time
Good quality and well cooked.,2025-04-08T00:00:00,Mutton Curry,Snacks
The meal was okay.,2026-01-13T00:00:00,Bonda,Dinner
Portion size was perfect and taste was nice.,2024-01-17T00:00:00,Dosa,Snacks
Good quality and well cooked.,2024-01-07T00:00:00,Fish Curry,Lunch
"Really enjoyed the meal, it was delicious.",2024-11-18T00:00:00,Paneer Curry,Lunch
Portion size was perfect and taste was nice.,2025-06-07T00:00:00,Idli,Snacks
The food tasted great today.,2024-02-08T00:00:00,Mutton Curry,Lunch
"Really enjoyed the meal, it was delicious.",2024-05-21T00:00:00,Bonda,Snacks
Decent meal overall.,2024-09-12T00:00:00,Roti,Snacks
The meal was light and refreshing.,2024-11-03T00:00:00,Veg Biryani,Snacks
Decent meal overall.,2024-08-10T00:00:00,Pongal,Dinner
The side dish mentioned in the menu was missing.,2025-05-09T00:00:00,Pongal,Snacks
Decent meal overall.,2024-04-07T00:00:00,Veg Curry,Dinner
"Amazing flavors, I loved the taste.",2025-08-13T00:00:00,Paneer Curry,Breakfast
The meal was light and refreshing.,2024-02-27T00:00:00,Ice Cream,Breakfast
"Neither good nor bad, just normal.",2025-03-02T00:00:00,Samosa,Snacks
"Amazing flavors, I loved the taste.",2025-10-30T00:00:00,Sambar Rice,Lunch
The meal was okay.,2024-11-08T00:00:00,Idli,Dinner
"It was fine, could be better.",2025-07-06T00:00:00,Fish Curry,Breakfast
The roti was too hard.,2025-12-15T00:00:00,Curd Rice,Snacks
The food tasted great today.,2025-11-20T00:00:00,Veg Biryani,Lunch
The meal was light and refreshing.,2025-09-01T00:00:00,Ice Cream,Dinner
"Really enjoyed the meal, it was delicious.",2025-03-18T00:00:00,Fish Curry,Breakfast
"Taste was average, nothing special.",2024-05-15T00:00:00,Paneer Curry,Dinner
"Neither good nor bad, just normal.",2025-08-08T00:00:00,Samosa,Breakfast
"It was fine, could be better.",2024-03-28T00:00:00,Dosa,Dinner
The meal was light and refreshing.,2025-12-15T00:00:00,Ice Cream,Dinner
"Fresh and tasty, good job by the kitchen.",2025-07-26T00:00:00,Curd Rice,Lunch
"Fresh and tasty, good job by the kitchen.",2025-10-29T00:00:00,Chicken Biryani,Dinner
"Really enjoyed the meal, it was delicious.",2024-03-14T00:00:00,Chicken Biryani,Lunch
Good quality and well cooked.,2025-12-02T00:00:00,Roti,Dinner
"Amazing flavors, I loved the taste.",2025-02-27T00:00:00,Pongal,Breakfast
Good quality and well cooked.,2024-07-14T00:00:00,Uggani,Snacks
Portion size was perfect and taste was nice.,2025-11-02T00:00:00,Samosa,Snacks
"Really enjoyed the meal, it was delicious.",2024-12-24T00:00:00,Idli,Snacks
The vegetables were overcooked and mushy.,2024-02-15T00:00:00,Bonda,Lunch
"Amazing flavors, I loved the taste.",2025-01-17T00:00:00,Veg Biryani,Lunch
The food tasted great today.,2026-01-27T00:00:00,Curd Rice,Breakfast
Portion size was perfect and taste was nice.,2024-05-31T00:00:00,Dosa,Lunch
"It was fine, could be better.",2025-12-11T00:00:00,Paneer Curry,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-04-27T00:00:00,Sambar Rice,Snacks
"Really enjoyed the meal, it was delicious.",2026-01-27T00:00:00,Idli,Snacks
"Really enjoyed the meal, it was delicious.",2025-07-13T00:00:00,Mutton Curry,Lunch
Portion size was perfect and taste was nice.,2025-05-09T00:00:00,Fish Curry,Snacks
"Fresh and tasty, good job by the kitchen.",2025-08-19T00:00:00,Curd Rice,Breakfast
"It was fine, could be better.",2024-06-23T00:00:00,Fish Curry,Breakfast
"Really enjoyed the meal, it was delicious.",2025-12-14T00:00:00,Dosa,Snacks
"Fresh and tasty, good job by the kitchen.",2025-11-01T00:00:00,Roti,Breakfast
"Neither good nor bad, just normal.",2025-11-07T00:00:00,Idli,Breakfast
The meal was light and refreshing.,2024-04-20T00:00:00,Roti,Snacks
The meal was light and refreshing.,2025-10-26T00:00:00,Idli,Snacks
"Fresh and tasty, good job by the kitchen.",2025-06-04T00:00:00,Ice Cream,Lunch
"Fresh and tasty, good job by the kitchen.",2025-09-03T00:00:00,Sambar Rice,Snacks
The meal was not salty enough.,2024-07-22T00:00:00,Mutton Curry,Breakfast
The overall quality was poor today.,2025-12-30T00:00:00,Fish Curry,Dinner
"Really enjoyed the meal, it was delicious.",2025-06-26T00:00:00,Idli,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-02-06T00:00:00,Paneer Curry,Snacks
Good quality and well cooked.,2025-12-01T00:00:00,Veg Curry,Breakfast
"Amazing flavors, I loved the taste.",2024-11-05T00:00:00,Gulab Jamun,Snacks
The meal was okay.,2025-10-02T00:00:00,Veg Biryani,Snacks
The meal was okay.,2025-07-22T00:00:00,Roti,Dinner
"Really enjoyed the meal, it was delicious.",2024-12-15T00:00:00,Roti,Lunch
The food tasted great today.,2026-01-17T00:00:00,Ice Cream,Lunch
"Fresh and tasty, good job by the kitchen.",2024-09-03T00:00:00,Ice Cream,Lunch
Good quality and well cooked.,2025-09-11T00:00:00,Curd Rice,Dinner
Portion size was perfect and taste was nice.,2024-05-14T00:00:00,Samosa,Dinner
Portion size was perfect and taste was nice.,2025-07-08T00:00:00,Chicken Biryani,Lunch
"It was fine, could be better.",2025-12-06T00:00:00,Chicken Biryani,Lunch
The rice was undercooked.,2026-02-27T00:00:00,Fish Curry,Lunch
Good quality and well cooked.,2024-03-10T00:00:00,Curd Rice,Lunch
"Really enjoyed the meal, it was delicious.",2024-11-21T00:00:00,Mutton Curry,Breakfast
"It was fine, could be better.",2025-02-27T00:00:00,Curd Rice,Breakfast
"Fresh and tasty, good job by the kitchen.",2026-02-02T00:00:00,Uggani,Snacks
The meal was light and refreshing.,2024-07-11T00:00:00,Roti,Lunch
"Really enjoyed the meal, it was delicious.",2024-01-27T00:00:00,Sambar Rice,Lunch
Portion size was perfect and taste was nice.,2024-08-25T00:00:00,Roti,Lunch
Good quality and well cooked.,2024-03-22T00:00:00,Veg Biryani,Breakfast
Portion size was perfect and taste was nice.,2025-09-11T00:00:00,Vada,Lunch
"Really enjoyed the meal, it was delicious.",2025-01-31T00:00:00,Vada,Snacks
"Really enjoyed the meal, it was delicious.",2024-06-16T00:00:00,Vada,Dinner
The food tasted great today.,2025-02-22T00:00:00,Chicken Biryani,Lunch
"Fresh and tasty, good job by the kitchen.",2024-08-15T00:00:00,Idli,Snacks
The food tasted great today.,2024-06-30T00:00:00,Chicken Biryani,Lunch
"Amazing flavors, I loved the taste.",2024-11-28T00:00:00,Bonda,Dinner
"Fresh and tasty, good job by the kitchen.",2025-02-18T00:00:00,Bonda,Lunch
"Amazing flavors, I loved the taste.",2024-11-16T00:00:00,Dosa,Dinner
Portion size was perfect and taste was nice.,2024-04-21T00:00:00,Ice Cream,Breakfast
The meal was light and refreshing.,2024-02-13T00:00:00,Bonda,Dinner
"Amazing flavors, I loved the taste.",2024-02-10T00:00:00,Veg Biryani,Dinner
Decent meal overall.,2026-02-22T00:00:00,Mutton Curry,Dinner
Good quality and well cooked.,2025-03-26T00:00:00,Dosa,Lunch
The meal was light and refreshing.,2024-10-19T00:00:00,Ice Cream,Snacks
"Neither good nor bad, just normal.",2024-10-28T00:00:00,Bonda,Lunch
"Neither good nor bad, just normal.",2025-10-23T00:00:00,Dosa,Lunch
Decent meal overall.,2024-04-25T00:00:00,Bonda,Breakfast
"Neither good nor bad, just normal.",2025-02-27T00:00:00,Veg Curry,Lunch
The food tasted great today.,2024-07-02T00:00:00,Samosa,Dinner
"Fresh and tasty, good job by the kitchen.",2024-04-02T00:00:00,Bonda,Lunch
"Taste was average, nothing special.",2026-01-05T00:00:00,Roti,Snacks
The food tasted great today.,2025-12-24T00:00:00,Sambar Rice,Breakfast
The food tasted great today.,2025-06-20T00:00:00,Bonda,Snacks
"Fresh and tasty, good job by the kitchen.",2025-07-17T00:00:00,Ice Cream,Lunch
"Taste was average, nothing special.",2024-12-09T00:00:00,Ice Cream,Breakfast
The meal was light and refreshing.,2024-05-28T00:00:00,Curd Rice,Lunch
"Fresh and tasty, good job by the kitchen.",2024-11-11T00:00:00,Veg Curry,Breakfast
"It was fine, could be better.",2025-10-03T00:00:00,Paneer Curry,Dinner
The food was served very late.,2024-05-14T00:00:00,Veg Curry,Breakfast
Decent meal overall.,2026-02-22T00:00:00,Chicken Biryani,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-05-24T00:00:00,Roti,Breakfast
Portion size was perfect and taste was nice.,2025-05-20T00:00:00,Vada,Breakfast
The taste felt stale.,2025-11-06T00:00:00,Veg Biryani,Lunch
"Fresh and tasty, good job by the kitchen.",2025-03-28T00:00:00,Vada,Dinner
"Really enjoyed the meal, it was delicious.",2025-07-14T00:00:00,Pongal,Breakfast
The food tasted great today.,2024-07-08T00:00:00,Roti,Lunch
"It was fine, could be better.",2024-02-07T00:00:00,Curd Rice,Breakfast
"Amazing flavors, I loved the taste.",2025-08-14T00:00:00,Curd Rice,Breakfast
The food tasted great today.,2024-02-20T00:00:00,Paneer Curry,Snacks
"Taste was average, nothing special.",2024-06-14T00:00:00,Sambar Rice,Dinner
"Fresh and tasty, good job by the kitchen.",2026-02-06T00:00:00,Paneer Curry,Lunch
The meal was okay.,2026-02-25T00:00:00,Gulab Jamun,Breakfast
Good quality and well cooked.,2025-01-23T00:00:00,Paneer Curry,Snacks
The meal was light and refreshing.,2025-07-17T00:00:00,Pongal,Dinner
"Fresh and tasty, good job by the kitchen.",2024-05-17T00:00:00,Pongal,Snacks
The curry had too much oil floating on top.,2025-06-23T00:00:00,Sambar Rice,Snacks
"Amazing flavors, I loved the taste.",2024-08-02T00:00:00,Uggani,Lunch
Decent meal overall.,2026-01-17T00:00:00,Dosa,Breakfast
"Fresh and tasty, good job by the kitchen.",2026-01-11T00:00:00,Fish Curry,Breakfast
Portion size was perfect and taste was nice.,2024-11-20T00:00:00,Paneer Curry,Dinner
"Really enjoyed the meal, it was delicious.",2025-09-21T00:00:00,Roti,Snacks
"Fresh and tasty, good job by the kitchen.",2024-07-03T00:00:00,Vada,Dinner
"Really enjoyed the meal, it was delicious.",2024-01-02T00:00:00,Veg Biryani,Snacks
"Fresh and tasty, good job by the kitchen.",2025-10-02T00:00:00,Sambar Rice,Breakfast
The meal was light and refreshing.,2025-09-22T00:00:00,Sambar Rice,Lunch
The food tasted great today.,2024-12-07T00:00:00,Uggani,Dinner
The food tasted great today.,2025-10-17T00:00:00,Gulab Jamun,Lunch
Good quality and well cooked.,2024-03-10T00:00:00,Chicken Biryani,Snacks
Portion size was perfect and taste was nice.,2025-07-17T00:00:00,Paneer Curry,Snacks
The food tasted great today.,2025-12-03T00:00:00,Samosa,Breakfast
"Neither good nor bad, just normal.",2026-01-11T00:00:00,Samosa,Snacks
"Really enjoyed the meal, it was delicious.",2024-12-04T00:00:00,Idli,Lunch
The texture of the dish was not good.,2024-02-06T00:00:00,Samosa,Dinner
"Really enjoyed the meal, it was delicious.",2025-10-04T00:00:00,Curd Rice,Dinner
"Fresh and tasty, good job by the kitchen.",2025-02-27T00:00:00,Bonda,Snacks
Portion size was perfect and taste was nice.,2026-01-12T00:00:00,Dosa,Snacks
"Really enjoyed the meal, it was delicious.",2025-08-14T00:00:00,Samosa,Breakfast
The meal was okay.,2024-06-01T00:00:00,Samosa,Snacks
Good quality and well cooked.,2025-01-19T00:00:00,Roti,Breakfast
The taste felt stale.,2025-09-12T00:00:00,Mutton Curry,Lunch
Decent meal overall.,2024-04-29T00:00:00,Ice Cream,Lunch
"Amazing flavors, I loved the taste.",2024-02-02T00:00:00,Paneer Curry,Snacks
The food tasted great today.,2025-05-23T00:00:00,Roti,Dinner
The vegetables were overcooked and mushy.,2024-11-05T00:00:00,Veg Biryani,Snacks
"Really enjoyed the meal, it was delicious.",2024-04-24T00:00:00,Chicken Biryani,Snacks
The meal was light and refreshing.,2024-07-25T00:00:00,Gulab Jamun,Breakfast
Decent meal overall.,2024-01-26T00:00:00,Pongal,Dinner
"Really enjoyed the meal, it was delicious.",2024-12-14T00:00:00,Vada,Lunch
The meal was missing an important ingredient.,2024-12-01T00:00:00,Vada,Snacks
The meal was light and refreshing.,2025-06-12T00:00:00,Curd Rice,Breakfast
The meal was okay.,2025-04-15T00:00:00,Curd Rice,Lunch
The food tasted great today.,2024-11-14T00:00:00,Ice Cream,Breakfast
Good quality and well cooked.,2025-04-23T00:00:00,Dosa,Breakfast
Portion size was perfect and taste was nice.,2026-02-23T00:00:00,Dosa,Breakfast
Portion size was perfect and taste was nice.,2026-02-15T00:00:00,Paneer Curry,Breakfast
"It was fine, could be better.",2024-07-24T00:00:00,Paneer Curry,Lunch
"It was fine, could be better.",2025-06-29T00:00:00,Chicken Biryani,Snacks
"Amazing flavors, I loved the taste.",2024-04-30T00:00:00,Samosa,Dinner
"Really enjoyed the meal, it was delicious.",2024-10-07T00:00:00,Roti,Lunch
Portion size was perfect and taste was nice.,2025-07-27T00:00:00,Sambar Rice,Breakfast
"Taste was average, nothing special.",2025-07-09T00:00:00,Fish Curry,Breakfast
Good quality and well cooked.,2024-05-24T00:00:00,Gulab Jamun,Snacks
"Really enjoyed the meal, it was delicious.",2024-03-13T00:00:00,Paneer Curry,Lunch
Portion size was perfect and taste was nice.,2025-03-30T00:00:00,Paneer Curry,Snacks
The food tasted great today.,2025-04-27T00:00:00,Dosa,Lunch
"Fresh and tasty, good job by the kitchen.",2024-02-25T00:00:00,Dosa,Breakfast
"Neither good nor bad, just normal.",2024-07-02T00:00:00,Pongal,Dinner
Good quality and well cooked.,2024-12-06T00:00:00,Bonda,Snacks
The meal was light and refreshing.,2026-02-21T00:00:00,Chicken Biryani,Breakfast
The food tasted great today.,2025-12-16T00:00:00,Bonda,Lunch
"Fresh and tasty, good job by the kitchen.",2024-11-13T00:00:00,Bonda,Breakfast
"Taste was average, nothing special.",2024-08-17T00:00:00,Bonda,Dinner
"It was fine, could be better.",2025-02-05T00:00:00,Curd Rice,Snacks
The meal was light and refreshing.,2024-11-28T00:00:00,Veg Curry,Snacks
The food tasted great today.,2024-03-07T00:00:00,Bonda,Dinner
Good quality and well cooked.,2025-05-05T00:00:00,Vada,Breakfast
Good quality and well cooked.,2026-02-25T00:00:00,Bonda,Lunch
Portion size was perfect and taste was nice.,2024-04-15T00:00:00,Gulab Jamun,Lunch
Good quality and well cooked.,2025-07-23T00:00:00,Ice Cream,Breakfast
Decent meal overall.,2025-04-17T00:00:00,Pongal,Snacks
"Taste was average, nothing special.",2025-09-27T00:00:00,Ice Cream,Dinner
"Neither good nor bad, just normal.",2025-01-28T00:00:00,Veg Biryani,Lunch
"Taste was average, nothing special.",2025-12-11T00:00:00,Pongal,Snacks
Portion size was perfect and taste was nice.,2024-12-16T00:00:00,Uggani,Dinner
"Really enjoyed the meal, it was delicious.",2025-11-09T00:00:00,Mutton Curry,Lunch
The meal was okay.,2025-08-29T00:00:00,Pongal,Dinner
Decent meal overall.,2024-04-09T00:00:00,Bonda,Snacks
Good quality and well cooked.,2025-02-19T00:00:00,Bonda,Lunch
"Amazing flavors, I loved the taste.",2025-09-02T00:00:00,Pongal,Breakfast
"Neither good nor bad, just normal.",2025-10-22T00:00:00,Ice Cream,Snacks
The food was too spicy.,2024-05-22T00:00:00,Dosa,Breakfast
"Amazing flavors, I loved the taste.",2024-06-01T00:00:00,Idli,Lunch
The food was not cooked properly.,2025-09-22T00:00:00,Bonda,Snacks
"Really enjoyed the meal, it was delicious.",2025-11-28T00:00:00,Bonda,Lunch
Portion size was perfect and taste was nice.,2025-11-26T00:00:00,Samosa,Snacks
The quantity was not enough.,2024-12-18T00:00:00,Paneer Curry,Dinner
Portion size was perfect and taste was nice.,2025-06-06T00:00:00,Pongal,Breakfast
The meal was light and refreshing.,2024-10-28T00:00:00,Ice Cream,Lunch
Portion size was perfect and taste was nice.,2024-02-24T00:00:00,Dosa,Snacks
The food tasted great today.,2024-10-15T00:00:00,Idli,Snacks
"Fresh and tasty, good job by the kitchen.",2025-12-20T00:00:00,Idli,Lunch
"Amazing flavors, I loved the taste.",2025-01-26T00:00:00,Ice Cream,Snacks
"Fresh and tasty, good job by the kitchen.",2025-07-12T00:00:00,Ice Cream,Dinner
"Fresh and tasty, good job by the kitchen.",2024-05-22T00:00:00,Chicken Biryani,Lunch
The gravy was missing today.,2025-01-03T00:00:00,Chicken Biryani,Dinner
"It was fine, could be better.",2025-11-17T00:00:00,Uggani,Lunch
The meal was okay.,2024-03-14T00:00:00,Curd Rice,Lunch
"Amazing flavors, I loved the taste.",2025-05-13T00:00:00,Idli,Lunch
The meal was okay.,2024-05-20T00:00:00,Uggani,Lunch
The meal was light and refreshing.,2025-12-13T00:00:00,Uggani,Dinner
The vegetables were overcooked and mushy.,2025-06-05T00:00:00,Uggani,Lunch
"Fresh and tasty, good job by the kitchen.",2024-12-29T00:00:00,Uggani,Dinner
The rice was undercooked.,2025-09-11T00:00:00,Veg Biryani,Lunch
The meal was light and refreshing.,2026-01-18T00:00:00,Idli,Dinner
"Fresh and tasty, good job by the kitchen.",2025-07-13T00:00:00,Veg Biryani,Snacks
The food tasted great today.,2025-08-04T00:00:00,Gulab Jamun,Breakfast
The meal was okay.,2025-08-17T00:00:00,Vada,Snacks
"Really enjoyed the meal, it was delicious.",2026-01-17T00:00:00,Vada,Breakfast
"Neither good nor bad, just normal.",2025-06-13T00:00:00,Fish Curry,Snacks
"Really enjoyed the meal, it was delicious.",2025-04-28T00:00:00,Pongal,Breakfast
Portion size was perfect and taste was nice.,2024-02-24T00:00:00,Pongal,Snacks
"Fresh and tasty, good job by the kitchen.",2025-04-09T00:00:00,Samosa,Breakfast
Decent meal overall.,2026-01-21T00:00:00,Fish Curry,Dinner
"It was fine, could be better.",2024-10-28T00:00:00,Samosa,Dinner
The food tasted great today.,2025-12-12T00:00:00,Paneer Curry,Lunch
The food tasted great today.,2025-10-06T00:00:00,Paneer Curry,Snacks
Portion size was perfect and taste was nice.,2024-02-22T00:00:00,Vada,Lunch
Good quality and well cooked.,2025-05-11T00:00:00,Paneer Curry,Breakfast
Portion size was perfect and taste was nice.,2024-03-19T00:00:00,Pongal,Lunch
"Really enjoyed the meal, it was delicious.",2025-09-22T00:00:00,Roti,Snacks
The meal was light and refreshing.,2024-09-20T00:00:00,Roti,Snacks
Portion size was perfect and taste was nice.,2024-06-27T00:00:00,Idli,Breakfast
Good quality and well cooked.,2024-06-28T00:00:00,Curd Rice,Dinner
"Neither good nor bad, just normal.",2024-07-04T00:00:00,Roti,Lunch
"It was fine, could be better.",2024-03-27T00:00:00,Fish Curry,Breakfast
The meal was light and refreshing.,2025-05-22T00:00:00,Curd Rice,Lunch
"Really enjoyed the meal, it was delicious.",2025-11-07T00:00:00,Uggani,Dinner
"Taste was average, nothing special.",2025-08-14T00:00:00,Bonda,Lunch
"It was fine, could be better.",2026-02-12T00:00:00,Gulab Jamun,Breakfast
The meal was not salty enough.,2025-04-20T00:00:00,Sambar Rice,Breakfast
Good quality and well cooked.,2025-05-02T00:00:00,Ice Cream,Dinner
"Fresh and tasty, good job by the kitchen.",2025-11-30T00:00:00,Mutton Curry,Lunch
"It was fine, could be better.",2024-05-28T00:00:00,Ice Cream,Dinner
The food tasted great today.,2024-10-22T00:00:00,Fish Curry,Dinner
"Amazing flavors, I loved the taste.",2024-11-19T00:00:00,Bonda,Dinner
The food tasted great today.,2025-06-28T00:00:00,Fish Curry,Breakfast
Portion size was perfect and taste was nice.,2025-10-29T00:00:00,Gulab Jamun,Dinner
Good quality and well cooked.,2024-09-30T00:00:00,Roti,Snacks
Decent meal overall.,2025-02-04T00:00:00,Sambar Rice,Snacks
"Amazing flavors, I loved the taste.",2025-11-19T00:00:00,Bonda,Lunch
"Amazing flavors, I loved the taste.",2025-12-07T00:00:00,Chicken Biryani,Snacks
Portion size was perfect and taste was nice.,2024-01-11T00:00:00,Veg Curry,Snacks
The food was served too cold.,2025-02-25T00:00:00,Idli,Breakfast
"Amazing flavors, I loved the taste.",2025-04-01T00:00:00,Sambar Rice,Breakfast
"It was fine, could be better.",2024-09-14T00:00:00,Gulab Jamun,Lunch
The meal was okay.,2025-09-26T00:00:00,Chicken Biryani,Breakfast
Portion size was perfect and taste was nice.,2025-11-03T00:00:00,Pongal,Breakfast
"Amazing flavors, I loved the taste.",2024-05-02T00:00:00,Chicken Biryani,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-11-03T00:00:00,Pongal,Lunch
The quantity was not enough.,2024-07-07T00:00:00,Veg Curry,Breakfast
"Fresh and tasty, good job by the kitchen.",2025-11-07T00:00:00,Roti,Snacks
"It was fine, could be better.",2026-02-26T00:00:00,Pongal,Dinner
Good quality and well cooked.,2024-06-14T00:00:00,Uggani,Snacks
The meal was light and refreshing.,2024-03-04T00:00:00,Pongal,Snacks
"It was fine, could be better.",2024-03-02T00:00:00,Ice Cream,Dinner
"Really enjoyed the meal, it was delicious.",2025-03-27T00:00:00,Roti,Snacks
"Really enjoyed the meal, it was delicious.",2025-09-16T00:00:00,Pongal,Dinner
"Neither good nor bad, just normal.",2024-04-21T00:00:00,Ice Cream,Lunch
"Taste was average, nothing special.",2025-09-20T00:00:00,Curd Rice,Dinner
"It was fine, could be better.",2024-04-15T00:00:00,Sambar Rice,Dinner
The food tasted great today.,2025-08-08T00:00:00,Dosa,Breakfast
The food tasted great today.,2025-05-24T00:00:00,Roti,Dinner
The food tasted great today.,2025-11-11T00:00:00,Curd Rice,Breakfast
"Really enjoyed the meal, it was delicious.",2025-12-17T00:00:00,Ice Cream,Snacks
Portion size was perfect and taste was nice.,2024-01-04T00:00:00,Samosa,Dinner
"Fresh and tasty, good job by the kitchen.",2025-03-22T00:00:00,Fish Curry,Dinner
Portion size was perfect and taste was nice.,2024-08-19T00:00:00,Ice Cream,Breakfast
"Amazing flavors, I loved the taste.",2025-05-08T00:00:00,Idli,Dinner
"It was fine, could be better.",2025-11-29T00:00:00,Sambar Rice,Snacks
The food tasted great today.,2025-10-09T00:00:00,Paneer Curry,Dinner
Portion size was perfect and taste was nice.,2024-12-14T00:00:00,Pongal,Snacks
"It was fine, could be better.",2025-10-25T00:00:00,Pongal,Dinner
Decent meal overall.,2024-02-10T00:00:00,Chicken Biryani,Lunch
Good quality and well cooked.,2025-12-13T00:00:00,Ice Cream,Lunch
"It was fine, could be better.",2025-05-13T00:00:00,Ice Cream,Breakfast
"Amazing flavors, I loved the taste.",2024-07-13T00:00:00,Pongal,Dinner
"Really enjoyed the meal, it was delicious.",2024-01-26T00:00:00,Curd Rice,Breakfast
"Fresh and tasty, good job by the kitchen.",2024-03-05T00:00:00,Veg Biryani,Dinner
"Fresh and tasty, good job by the kitchen.",2025-06-30T00:00:00,Mutton Curry,Snacks
The food tasted great today.,2024-12-13T00:00:00,Bonda,Breakfast
The meal was okay.,2025-02-19T00:00:00,Dosa,Snacks
The meal was light and refreshing.,2025-10-31T00:00:00,Sambar Rice,Lunch
Decent meal overall.,2024-06-01T00:00:00,Fish Curry,Dinner
The food tasted great today.,2026-01-23T00:00:00,Veg Biryani,Breakfast
The quality was inconsistent this week.,2024-01-20T00:00:00,Curd Rice,Dinner
"Really enjoyed the meal, it was delicious.",2025-12-19T00:00:00,Vada,Breakfast
"Really enjoyed the meal, it was delicious.",2025-10-09T00:00:00,Curd Rice,Breakfast
The meal was okay.,2025-04-12T00:00:00,Dosa,Snacks
The meal was okay.,2024-04-26T00:00:00,Veg Curry,Breakfast
The food tasted great today.,2024-07-26T00:00:00,Vada,Lunch
The meal was light and refreshing.,2026-01-25T00:00:00,Uggani,Snacks
The meal was okay.,2025-12-01T00:00:00,Ice Cream,Snacks
Good quality and well cooked.,2024-08-06T00:00:00,Mutton Curry,Lunch
Good quality and well cooked.,2024-03-05T00:00:00,Dosa,Lunch
"Taste was average, nothing special.",2026-02-14T00:00:00,Sambar Rice,Snacks
"Amazing flavors, I loved the taste.",2025-01-13T00:00:00,Uggani,Lunch
"Fresh and tasty, good job by the kitchen.",2024-09-06T00:00:00,Mutton Curry,Lunch
The food tasted great today.,2025-10-09T00:00:00,Dosa,Lunch
The meal was okay.,2025-05-13T00:00:00,Ice Cream,Lunch
The food tasted great today.,2024-07-02T00:00:00,Pongal,Breakfast
"Neither good nor bad, just normal.",2025-12-11T00:00:00,Pongal,Snacks
"Really enjoyed the meal, it was delicious.",2024-05-26T00:00:00,Vada,Lunch
"Fresh and tasty, good job by the kitchen.",2024-09-01T00:00:00,Roti,Dinner
Portion size was perfect and taste was nice.,2024-07-03T00:00:00,Veg Curry,Breakfast
"Amazing flavors, I loved the taste.",2024-11-04T00:00:00,Vada,Breakfast
The food tasted great today.,2025-07-25T00:00:00,Gulab Jamun,Dinner
The food tasted great today.,2025-06-26T00:00:00,Veg Biryani,Lunch
The meal was light and refreshing.,2026-02-18T00:00:00,Sambar Rice,Snacks
"Fresh and tasty, good job by the kitchen.",2026-02-27T00:00:00,Mutton Curry,Lunch
The food tasted great today.,2024-07-17T00:00:00,Chicken Biryani,Snacks
"Amazing flavors, I loved the taste.",2025-04-30T00:00:00,Sambar Rice,Lunch
"Really enjoyed the meal, it was delicious.",2025-11-17T00:00:00,Vada,Lunch
"Amazing flavors, I loved the taste.",2025-01-07T00:00:00,Dosa,Breakfast
The rice was undercooked.,2024-09-14T00:00:00,Paneer Curry,Lunch
The meal was okay.,2024-04-16T00:00:00,Samosa,Dinner
"Really enjoyed the meal, it was delicious.",2024-01-30T00:00:00,Dosa,Lunch
The food tasted great today.,2024-08-28T00:00:00,Vada,Breakfast
"Fresh and tasty, good job by the kitchen.",2024-07-22T00:00:00,Bonda,Snacks
The meal was light and refreshing.,2024-04-22T00:00:00,Samosa,Lunch
The food tasted great today.,2024-08-30T00:00:00,Samosa,Lunch
"Neither good nor bad, just normal.",2024-08-13T00:00:00,Uggani,Lunch
Portion size was perfect and taste was nice.,2025-05-11T00:00:00,Pongal,Dinner
"Taste was average, nothing special.",2024-08-09T00:00:00,Dosa,Dinner
"Neither good nor bad, just normal.",2025-01-17T00:00:00,Bonda,Lunch
The serving was not sufficient.,2024-07-17T00:00:00,Curd Rice,Dinner
"Really enjoyed the meal, it was delicious.",2024-12-09T00:00:00,Gulab Jamun,Snacks
"Amazing flavors, I loved the taste.",2025-08-05T00:00:00,Curd Rice,Breakfast
"Really enjoyed the meal, it was delicious.",2024-04-23T00:00:00,Dosa,Snacks
"Neither good nor bad, just normal.",2024-06-24T00:00:00,Bonda,Dinner
Good quality and well cooked.,2025-09-10T00:00:00,Samosa,Lunch
The taste felt stale.,2025-07-20T00:00:00,Veg Curry,Lunch
"Fresh and tasty, good job by the kitchen.",2025-06-18T00:00:00,Veg Biryani,Breakfast
Portion size was perfect and taste was nice.,2025-04-29T00:00:00,Vada,Lunch
The food tasted great today.,2026-01-17T00:00:00,Bonda,Snacks
"Really enjoyed the meal, it was delicious.",2024-12-01T00:00:00,Uggani,Lunch
Portion size was perfect and taste was nice.,2024-06-01T00:00:00,Uggani,Lunch
The food tasted great today.,2024-02-11T00:00:00,Idli,Dinner
"Fresh and tasty, good job by the kitchen.",2025-06-27T00:00:00,Vada,Breakfast
The side dish mentioned in the menu was missing.,2025-12-14T00:00:00,Ice Cream,Dinner
"Fresh and tasty, good job by the kitchen.",2024-09-03T00:00:00,Sambar Rice,Dinner
"Amazing flavors, I loved the taste.",2026-01-19T00:00:00,Pongal,Breakfast
"Really enjoyed the meal, it was delicious.",2025-01-02T00:00:00,Uggani,Lunch
The meal was okay.,2024-01-17T00:00:00,Paneer Curry,Lunch
"Taste was average, nothing special.",2025-12-21T00:00:00,Vada,Snacks
"Neither good nor bad, just normal.",2025-04-19T00:00:00,Bonda,Breakfast
